"date","postcount","usercount"
"2019-11-24",25,23
"2019-11-25",34,24
"2019-11-26",42,28
"2019-11-27",40,34
"2019-11-28",45,33
"2019-11-29",19,19
"2019-11-30",36,17
"2019-12-01",26,18
"2019-12-02",24,21
"2019-12-03",36,33
"2019-12-04",24,21
"2019-12-05",33,31
"2019-12-06",20,19
"2019-12-07",22,18
"2019-12-08",40,31
"2019-12-09",40,24
"2019-12-10",35,32
"2019-12-11",31,26
"2019-12-12",48,40
"2019-12-13",38,30
"2019-12-14",31,28
"2019-12-15",40,30
"2019-12-16",138,69
"2019-12-17",125,93
"2019-12-18",210,154
"2019-12-19",57,44
"2019-12-20",28,25
"2019-12-21",35,24
"2019-12-22",27,22
"2019-12-23",24,22
"2019-12-24",30,29
"2019-12-25",11,11
"2019-12-26",25,23
"2019-12-27",19,15
"2019-12-28",18,18
"2019-12-29",17,15
"2019-12-30",20,18
"2019-12-31",12,9
"2020-01-01",12,10
"2020-01-02",16,14
"2020-01-03",14,14
"2020-01-04",20,17
"2020-01-05",17,17
"2020-01-06",14,12
"2020-01-07",32,20
"2020-01-08",18,17
"2020-01-09",18,16
"2020-01-10",18,18
"2020-01-11",16,11
"2020-01-12",18,18
"2020-01-13",26,25
"2020-01-14",15,14
"2020-01-15",16,15
"2020-01-16",18,15
"2020-01-17",20,19
"2020-01-18",18,17
"2020-01-19",22,17
"2020-01-20",24,19
"2020-01-21",31,29
"2020-01-22",26,23
"2020-01-23",32,29
"2020-01-24",27,24
"2020-01-25",13,13
"2020-01-26",21,19
"2020-01-27",31,25
"2020-01-28",43,35
"2020-01-29",25,21
"2020-01-30",37,30
"2020-01-31",34,32
"2020-02-01",20,17
"2020-02-02",16,14
"2020-02-03",43,30
"2020-02-04",29,27
"2020-02-05",31,27
"2020-02-06",13,13
"2020-02-07",18,17
"2020-02-08",29,24
"2020-02-09",17,16
"2020-02-10",34,30
"2020-02-11",45,45
"2020-02-12",49,43
"2020-02-13",36,33
"2020-02-14",19,18
"2020-02-15",29,23
"2020-02-16",25,20
"2020-02-17",22,17
"2020-02-18",21,19
"2020-02-19",103,93
"2020-02-20",60,53
"2020-02-21",37,35
"2020-02-22",28,26
"2020-02-23",22,22
"2020-02-24",35,31
"2020-02-25",30,27
"2020-02-26",26,24
"2020-02-27",33,29
"2020-02-28",72,48
"2020-02-29",759,415
"2020-03-01",146,78
"2020-03-02",151,130
"2020-03-03",152,126
"2020-03-04",133,107
"2020-03-05",93,74
"2020-03-06",90,80
"2020-03-07",94,73
"2020-03-08",94,67
"2020-03-09",67,53
"2020-03-10",52,42
"2020-03-11",38,34
"2020-03-12",35,31
"2020-03-13",44,40
"2020-03-14",45,41
"2020-03-15",24,19
"2020-03-16",36,33
"2020-03-17",40,35
"2020-03-18",47,43
"2020-03-19",30,27
"2020-03-20",34,30
"2020-03-21",37,29
"2020-03-22",20,18
"2020-03-23",21,19
"2020-03-24",21,18
"2020-03-25",33,31
"2020-03-26",41,34
"2020-03-27",22,18
"2020-03-28",26,23
"2020-03-29",53,39
"2020-03-30",24,22
"2020-03-31",25,25
"2020-04-01",24,21
"2020-04-02",24,22
"2020-04-03",22,22
"2020-04-04",30,28
"2020-04-05",42,32
"2020-05-05",22,19
"2020-05-06",43,36
"2020-05-07",38,31
"2020-05-08",26,23
"2020-05-09",25,22
"2020-05-10",11,10
"2020-05-11",12,11
"2020-05-12",21,19
"2020-05-13",38,29
"2020-05-14",28,24
"2020-05-15",28,19
"2020-05-16",48,20
"2020-05-17",28,18
"2020-05-18",79,56
"2020-05-19",47,37
"2020-05-20",29,25
"2020-05-21",22,18
"2020-05-31",11,9
"2020-06-01",16,13
"2020-06-02",16,16
"2020-06-03",20,18
"2020-06-04",10,10
"2020-06-05",22,20
"2020-06-06",7,7
"2020-06-07",17,12
"2020-06-08",26,21
"2020-06-09",27,22
"2020-06-10",14,14
"2020-06-11",32,25
"2020-06-12",20,18
"2020-06-13",27,23
"2020-06-14",22,19
"2020-06-15",61,55
"2020-06-16",39,34
"2020-06-17",52,41
"2020-06-18",44,35
"2020-06-19",79,61
"2020-06-20",625,407
"2020-06-21",57,47
"2020-06-22",34,31
"2020-06-23",31,29
"2020-06-24",24,22
"2020-06-25",29,19
"2020-06-26",27,23
"2020-06-27",22,19
"2020-06-28",37,31
"2020-06-29",15,15
"2020-06-30",16,13
"2020-07-01",28,22
"2020-07-02",18,17
"2020-07-03",28,21
"2020-07-04",21,16
"2020-07-05",18,16
"2020-07-06",19,16
"2020-07-07",31,26
"2020-07-08",25,23
"2020-07-09",20,14
"2020-07-10",21,20
"2020-07-11",11,10
"2020-07-12",12,11
"2020-07-13",28,23
"2020-07-14",32,24
"2020-07-15",18,16
"2020-07-16",17,16
"2020-07-17",16,14
"2020-07-18",16,15
"2020-07-19",16,16
"2020-07-20",15,13
"2020-07-21",8,7
"2020-07-22",17,17
"2020-07-23",19,19
"2020-07-24",12,12
"2020-07-25",19,16
"2020-07-26",16,15
"2020-07-27",20,18
"2020-07-28",38,34
"2020-07-29",29,22
"2020-07-30",34,28
"2020-07-31",45,38
"2020-08-01",20,16
"2020-08-02",15,14
"2020-08-03",22,22
"2020-08-04",34,28
"2020-08-05",22,15
"2020-08-06",26,21
"2020-08-07",29,23
"2020-08-08",35,27
"2020-08-09",97,78
"2020-08-10",58,53
"2020-08-11",66,58
"2020-08-12",35,31
"2020-08-13",23,20
"2020-08-14",29,25
"2020-08-15",19,18
"2020-08-16",20,16
"2020-08-17",30,24
"2020-08-18",36,33
"2020-08-19",27,25
"2020-08-20",40,33
"2020-08-31",22,22
"2020-09-01",30,25
"2020-09-15",76,62
"2020-09-16",135,100
"2020-09-17",86,64
"2020-09-18",75,58
"2020-09-19",49,29
"2020-09-20",78,60
"2020-09-21",54,37
"2020-09-22",36,31
"2020-09-23",89,70
"2020-09-24",41,35
"2020-09-25",42,34
"2020-09-26",37,32
"2020-09-27",49,38
"2020-09-28",54,41
"2020-09-29",24,22
"2020-09-30",33,30
"2020-10-01",41,32
"2020-10-02",24,20
"2020-10-03",31,23
"2020-10-04",22,17
"2020-10-05",34,27
"2020-10-06",24,22
"2020-12-02",23,10
"2020-12-03",22,19
"2020-12-04",18,16
"2020-12-05",15,14
"2020-12-06",25,17
"2020-12-07",16,12
"2020-12-08",19,19
"2020-12-09",18,16
"2020-12-10",21,14
"2020-12-11",12,12
"2020-12-12",21,19
"2020-12-13",21,20
"2020-12-14",19,16
"2020-12-15",22,20
"2020-12-16",20,20
"2020-12-17",25,23
"2020-12-18",114,92
"2020-12-19",30,20
"2020-12-20",27,25
"2020-12-21",30,26
"2020-12-22",32,24
"2020-12-23",33,31
"2020-12-24",20,16
"2020-12-25",15,11
"2020-12-26",15,12
"2020-12-27",18,12
"2020-12-28",12,10
"2020-12-29",12,10
"2020-12-30",10,8
"2020-12-31",5,5
"2021-01-01",2,2
"2021-01-02",18,17
"2021-01-03",24,19
"2021-01-04",4,4
"2021-01-05",14,13
"2021-01-06",13,12
"2021-01-07",10,8
"2021-01-08",14,12
"2021-01-09",9,9
"2021-01-10",17,14
"2021-01-11",20,17
"2021-01-12",17,16
"2021-01-13",17,12
"2021-01-14",12,11
"2021-01-15",9,9
"2021-01-16",20,20
